Station: ST. JOHN'S INTL A,,,,,,,
Year,Month,Day,Time,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag
2012,1,1,0:30,,,,
2012,1,1,1:30,,,,
2012,1,1,2:30,,,,
2012,1,1,3:30,,,,
2012,1,1,4:30,,,,
2012,1,1,5:30,,,,
2012,1,1,6:30,,,,
2012,1,1,7:30,,,,
2012,1,1,8:30,,,,
2012,1,1,9:30,,,,
2012,1,1,10:30,,,,
2012,1,1,11:30,,,,
2012,1,1,12:30,,,,
2012,1,1,13:30,,,,
2012,1,1,14:30,,,,
2012,1,1,15:30,,,,
2012,1,1,16:30,,,,
2012,1,1,17:30,,,,
2012,1,1,18:30,,,,
2012,1,1,19:30,,,,
2012,1,1,20:30,,,,
2012,1,1,21:30,,,,
2012,1,1,22:30,,,,
2012,1,1,23:30,,,,
2012,1,2,0:30,,,,
2012,1,2,1:30,,,,
2012,1,2,2:30,,,,
2012,1,2,3:30,,,,
2012,1,2,4:30,,,,
2012,1,2,5:30,,,,
2012,1,2,6:30,,,,
2012,1,2,7:30,,,,
2012,1,2,8:30,,,,
2012,1,2,9:30,,,,
2012,1,2,10:30,,,,
2012,1,2,11:30,,,,
2012,1,2,12:30,,,,
2012,1,2,13:30,,,,
2012,1,2,14:30,,,,
2012,1,2,15:30,,,,
2012,1,2,16:30,,,,
2012,1,2,17:30,,,,
2012,1,2,18:30,,,,
2012,1,2,19:30,,,,
2012,1,2,20:30,,,,
2012,1,2,21:30,,,,
2012,1,2,22:30,,,,
2012,1,2,23:30,,,,
2012,1,3,0:30,,,,
2012,1,3,1:30,,,,
2012,1,3,2:30,,,,
2012,1,3,3:30,,,,
2012,1,3,4:30,,,,
2012,1,3,5:30,,,,
2012,1,3,6:30,,,,
2012,1,3,7:30,,,,
2012,1,3,8:30,,,,
2012,1,3,9:30,,,,
2012,1,3,10:30,,,,
2012,1,3,11:30,,,,
2012,1,3,12:30,,,,
2012,1,3,13:30,,,,
2012,1,3,14:30,,,,
2012,1,3,15:30,,,,
2012,1,3,16:30,,,,
2012,1,3,17:30,,,,
2012,1,3,18:30,,,,
2012,1,3,19:30,,,,
2012,1,3,20:30,,,,
2012,1,3,21:30,,,,
2012,1,3,22:30,,,,
2012,1,3,23:30,,,,
2012,1,4,0:30,,,,
2012,1,4,1:30,,,,
2012,1,4,2:30,,,,
2012,1,4,3:30,,,,
2012,1,4,4:30,,,,
2012,1,4,5:30,,,,
2012,1,4,6:30,,,,
2012,1,4,7:30,,,,
2012,1,4,8:30,,,,
2012,1,4,9:30,,,,
2012,1,4,10:30,,,,
2012,1,4,11:30,,,,
2012,1,4,12:30,,,,
2012,1,4,13:30,,,,
2012,1,4,14:30,,,,
2012,1,4,15:30,,,,
2012,1,4,16:30,,,,
2012,1,4,17:30,,,,
2012,1,4,18:30,,,,
2012,1,4,19:30,,,,
2012,1,4,20:30,,,,
2012,1,4,21:30,,,,
2012,1,4,22:30,,,,
2012,1,4,23:30,,,,
2012,1,5,0:30,,,,
2012,1,5,1:30,,,,
2012,1,5,2:30,,,,
2012,1,5,3:30,,,,
2012,1,5,4:30,,,,
2012,1,5,5:30,,,,
2012,1,5,6:30,,,,
2012,1,5,7:30,,,,
2012,1,5,8:30,,,,
2012,1,5,9:30,,,,
2012,1,5,10:30,,,,
2012,1,5,11:30,,,,
2012,1,5,12:30,,,,
2012,1,5,13:30,,,,
2012,1,5,14:30,,,,
2012,1,5,15:30,,,,
2012,1,5,16:30,,,,
2012,1,5,17:30,,,,
2012,1,5,18:30,,,,
2012,1,5,19:30,,,,
2012,1,5,20:30,,,,
2012,1,5,21:30,,,,
2012,1,5,22:30,,,,
2012,1,5,23:30,,,,
2012,1,6,0:30,,,,
2012,1,6,1:30,,,,
2012,1,6,2:30,,,,
2012,1,6,3:30,,,,
2012,1,6,4:30,,,,
2012,1,6,5:30,,,,
2012,1,6,6:30,,,,
2012,1,6,7:30,,,,
2012,1,6,8:30,,,,
2012,1,6,9:30,,,,
2012,1,6,10:30,,,,
2012,1,6,11:30,,,,
2012,1,6,12:30,,,,
2012,1,6,13:30,,,,
2012,1,6,14:30,,,,
2012,1,6,15:30,,,,
2012,1,6,16:30,,,,
2012,1,6,17:30,,,,
2012,1,6,18:30,,,,
2012,1,6,19:30,,,,
2012,1,6,20:30,,,,
2012,1,6,21:30,,,,
2012,1,6,22:30,,,,
2012,1,6,23:30,,,,
2012,1,7,0:30,,,,
2012,1,7,1:30,,,,
2012,1,7,2:30,,,,
2012,1,7,3:30,,,,
2012,1,7,4:30,,,,
2012,1,7,5:30,,,,
2012,1,7,6:30,,,,
2012,1,7,7:30,,,,
2012,1,7,8:30,,,,
2012,1,7,9:30,,,,
2012,1,7,10:30,,,,
2012,1,7,11:30,,,,
2012,1,7,12:30,,,,
2012,1,7,13:30,,,,
2012,1,7,14:30,,,,
2012,1,7,15:30,,,,
2012,1,7,16:30,,,,
2012,1,7,17:30,,,,
2012,1,7,18:30,,,,
2012,1,7,19:30,,,,
2012,1,7,20:30,,,,
2012,1,7,21:30,,,,
2012,1,7,22:30,,,,
2012,1,7,23:30,,,,
2012,1,8,0:30,,,,
2012,1,8,1:30,,,,
2012,1,8,2:30,,,,
2012,1,8,3:30,,,,
2012,1,8,4:30,,,,
2012,1,8,5:30,,,,
2012,1,8,6:30,,,,
2012,1,8,7:30,,,,
2012,1,8,8:30,,,,
2012,1,8,9:30,,,,
2012,1,8,10:30,,,,
2012,1,8,11:30,,,,
2012,1,8,12:30,,,,
2012,1,8,13:30,,,,
2012,1,8,14:30,,,,
2012,1,8,15:30,,,,
2012,1,8,16:30,,,,
2012,1,8,17:30,,,,
2012,1,8,18:30,,,,
2012,1,8,19:30,,,,
2012,1,8,20:30,,,,
2012,1,8,21:30,,,,
2012,1,8,22:30,,,,
2012,1,8,23:30,,,,
2012,1,9,0:30,,,,
2012,1,9,1:30,,,,
2012,1,9,2:30,,,,
2012,1,9,3:30,,,,
2012,1,9,4:30,,,,
2012,1,9,5:30,,,,
2012,1,9,6:30,,,,
2012,1,9,7:30,,,,
2012,1,9,8:30,,,,
2012,1,9,9:30,,,,
2012,1,9,10:30,,,,
2012,1,9,11:30,,,,
2012,1,9,12:30,,,,
2012,1,9,13:30,,,,
2012,1,9,14:30,,,,
2012,1,9,15:30,,,,
2012,1,9,16:30,,,,
2012,1,9,17:30,,,,
2012,1,9,18:30,,,,
2012,1,9,19:30,,,,
2012,1,9,20:30,,,,
2012,1,9,21:30,,,,
2012,1,9,22:30,,,,
2012,1,9,23:30,,,,
2012,1,10,0:30,,,,
2012,1,10,1:30,,,,
2012,1,10,2:30,,,,
2012,1,10,3:30,,,,
2012,1,10,4:30,,,,
2012,1,10,5:30,,,,
2012,1,10,6:30,,,,
2012,1,10,7:30,,,,
2012,1,10,8:30,,,,
2012,1,10,9:30,,,,
2012,1,10,10:30,,,,
2012,1,10,11:30,,,,
2012,1,10,12:30,,,,
2012,1,10,13:30,,,,
2012,1,10,14:30,,,,
2012,1,10,15:30,,,,
2012,1,10,16:30,,,,
2012,1,10,17:30,,,,
2012,1,10,18:30,,,,
2012,1,10,19:30,,,,
2012,1,10,20:30,,,,
2012,1,10,21:30,,,,
2012,1,10,22:30,,,,
2012,1,10,23:30,,,,
2012,1,11,0:30,,,,
2012,1,11,1:30,,,,
2012,1,11,2:30,,,,
2012,1,11,3:30,,,,
2012,1,11,4:30,,,,
2012,1,11,5:30,,,,
2012,1,11,6:30,,,,
2012,1,11,7:30,,,,
2012,1,11,8:30,,,,
2012,1,11,9:30,,,,
2012,1,11,10:30,,,,
2012,1,11,11:30,,,,
2012,1,11,12:30,,,,
2012,1,11,13:30,,,,
2012,1,11,14:30,,,,
2012,1,11,15:30,,,,
2012,1,11,16:30,,,,
2012,1,11,17:30,,,,
2012,1,11,18:30,,,,
2012,1,11,19:30,,,,
2012,1,11,20:30,,,,
2012,1,11,21:30,,,,
2012,1,11,22:30,,,,
2012,1,11,23:30,,,,
2012,1,12,0:30,,,,
2012,1,12,1:30,,,,
2012,1,12,2:30,,,,
2012,1,12,3:30,,,,
2012,1,12,4:30,,,,
2012,1,12,5:30,,,,
2012,1,12,6:30,,,,
2012,1,12,7:30,,,,
2012,1,12,8:30,,,,
2012,1,12,9:30,,,,
2012,1,12,10:30,,,,
2012,1,12,11:30,,,,
2012,1,12,12:30,,,,
2012,1,12,13:30,,,,
2012,1,12,14:30,,,,
2012,1,12,15:30,,,,
2012,1,12,16:30,,,,
2012,1,12,17:30,,,,
2012,1,12,18:30,,,,
2012,1,12,19:30,,,,
2012,1,12,20:30,,,,
2012,1,12,21:30,,,,
2012,1,12,22:30,,,,
2012,1,12,23:30,,,,
2012,1,13,0:30,,,,
2012,1,13,1:30,,,,
2012,1,13,2:30,,,,
2012,1,13,3:30,,,,
2012,1,13,4:30,,,,
2012,1,13,5:30,,,,
2012,1,13,6:30,,,,
2012,1,13,7:30,,,,
2012,1,13,8:30,,,,
2012,1,13,9:30,,,,
2012,1,13,10:30,,,,
2012,1,13,11:30,,,,
